Date,MarketCap
4/6/17,19525598224
4/9/17,19815481984
4/12/17,20033943606
4/15/17,19498363475
4/18/17,20637969895
4/21/17,21588070556
4/24/17,20575227797
4/27/17,21926056741
4/30/17,22058522828
5/3/17,24586863671
5/6/17,25457585280
5/9/17,28093005954
5/12/17,28089241688
5/15/17,28143078402
5/18/17,31027073785
5/21/17,33448303438
5/24/17,38899164897
5/27/17,32941397093
5/30/17,36637793850
6/2/17,40038367307
6/5/17,44183337149
6/8/17,45750548628
6/11/17,48532280870
6/14/17,40110100599
6/17/17,43712771806
6/20/17,45187876438
6/23/17,44471767181
6/26/17,39989166645
6/29/17,41774133240
7/2/17,41080316972
7/5/17,43033774512
7/8/17,42110891329
7/11/17,38965835960
7/14/17,36037038605
7/17/17,35813346630
7/20/17,47702949608
7/23/17,44877947692
7/26/17,41097019289
7/29/17,44859727987
8/1/17,44675298136
8/4/17,47386068358
8/7/17,56200758544
8/10/17,56502754910
8/13/17,68093665581
8/16/17,72000312097
8/19/17,69743600462
8/22/17,67440385317
8/25/17,72100292859
8/28/17,72594582814
8/31/17,78517382093
9/3/17,76890792076
9/6/17,76816932326
9/9/17,72439028688
9/12/17,69874102307
9/15/17,62533631277
9/18/17,67843960761
9/21/17,60664303199
9/24/17,61417012141
9/27/17,69723276430
9/30/17,71952969918
10/3/17,71279730159
10/6/17,72170693759
10/9/17,79381217031
10/12/17,88501874725
10/15/17,93889733071
10/18/17,92242198388
10/21/17,1.00E+11
10/24/17,91642025554
10/27/17,96114589131
10/30/17,1.02E+11
11/2/17,1.18E+11
11/5/17,1.23E+11
11/8/17,1.24E+11
11/11/17,1.06E+11
11/14/17,1.11E+11
11/17/17,1.30E+11
11/20/17,1.38E+11
11/23/17,1.36E+11
11/26/17,1.55E+11
11/29/17,1.65E+11
12/2/17,1.85E+11
12/5/17,1.99E+11
12/8/17,2.68E+11
12/11/17,2.81E+11
12/14/17,2.79E+11
12/17/17,3.23E+11
12/20/17,2.69E+11
12/23/17,2.57E+11
12/26/17,2.68E+11
12/29/17,2.46E+11
1/1/18,2.32E+11
1/4/18,2.55E+11
1/7/18,2.80E+11
1/10/18,2.54E+11
1/13/18,2.44E+11
1/16/18,1.88E+11
1/19/18,1.92E+11
1/22/18,1.77E+11
1/25/18,1.89E+11
1/28/18,1.98E+11
1/31/18,1.70E+11
2/3/18,1.53E+11
2/6/18,1.30E+11
2/9/18,1.44E+11
2/12/18,1.49E+11
2/15/18,1.68E+11
2/18/18,1.77E+11
2/21/18,1.78E+11
2/24/18,1.64E+11
2/27/18,1.82E+11
3/2/18,1.87E+11
3/5/18,1.96E+11
3/8/18,1.59E+11
3/11/18,1.65E+11
3/14/18,1.38E+11
3/17/18,1.35E+11
3/20/18,1.52E+11
3/23/18,1.47E+11
3/26/18,1.39E+11
3/29/18,1.22E+11
4/1/18,1.15E+11
4/4/18,1.15E+11
4/7/18,1.18E+11
4/10/18,1.15E+11
4/13/18,1.34E+11
4/16/18,1.37E+11
4/19/18,1.40E+11
4/22/18,1.50E+11
4/25/18,1.53E+11
4/28/18,1.59E+11
5/1/18,1.54E+11
5/4/18,1.65E+11
5/7/18,1.59E+11
5/10/18,1.55E+11
5/13/18,1.49E+11
5/16/18,1.42E+11
5/19/18,1.40E+11
5/22/18,1.37E+11
5/25/18,1.27E+11
5/28/18,1.22E+11
5/31/18,1.28E+11
6/3/18,1.31E+11
6/6/18,1.31E+11
6/9/18,1.29E+11
6/12/18,1.12E+11
6/15/18,1.10E+11
6/18/18,1.15E+11
6/21/18,1.15E+11
6/24/18,1.06E+11
6/27/18,1.05E+11
6/30/18,1.02E+11
7/3/18,1.14E+11
7/6/18,1.12E+11
7/9/18,1.15E+11
7/12/18,1.10E+11
7/15/18,1.08E+11
7/18/18,1.26E+11
7/21/18,1.26E+11
7/24/18,1.32E+11
7/27/18,1.36E+11
7/30/18,1.42E+11
8/2/18,1.30E+11
8/5/18,1.20E+11
8/8/18,1.11E+11
8/11/18,1.07E+11
8/14/18,1.04E+11
8/17/18,1.12E+11
8/20/18,1.11E+11
8/23/18,1.11E+11
8/26/18,1.15E+11
8/29/18,1.22E+11
9/1/18,1.22E+11
9/4/18,1.26E+11
9/7/18,1.11E+11
9/10/18,1.09E+11
9/13/18,1.11E+11
9/16/18,1.12E+11
9/19/18,1.09E+11
9/22/18,1.16E+11
9/25/18,1.11E+11
9/28/18,1.15E+11
10/1/18,1.14E+11
10/4/18,1.14E+11
10/7/18,1.14E+11
10/10/18,1.14E+11
10/13/18,1.08E+11
10/16/18,1.14E+11
10/19/18,1.12E+11
10/22/18,1.13E+11
10/25/18,1.12E+11
10/28/18,1.12E+11
10/31/18,1.10E+11
11/3/18,1.10E+11
11/6/18,1.12E+11
11/9/18,1.11E+11
11/12/18,1.11E+11
11/15/18,97580878799
11/18/18,97449725598
11/21/18,78829432161
11/24/18,74680143637
11/27/18,65267773995
11/30/18,71463879215
12/3/18,69056543507
12/6/18,65166468118
12/9/18,61454462930
12/12/18,60307741463
12/15/18,56200958928
12/18/18,62181269660
12/21/18,70013651674
12/24/18,72881571041
12/27/18,65391501364
12/30/18,66899048186
1/2/19,67518253392
1/5/19,67564391446
1/8/19,70510271360
1/11/19,63908086521
1/14/19,63007587598
1/17/19,63302358632
1/20/19,63324582526
1/23/19,62639913156
1/26/19,62823954010
1/29/19,59830032463
2/1/19,60497714397
2/4/19,60483540931
2/7/19,59656854796
2/10/19,63906666656
2/13/19,63536675608
2/16/19,63684100667
2/19/19,69017963420
2/22/19,69661532821
2/25/19,67240374580
2/28/19,67508169174
3/3/19,67250087789
3/6/19,67896296542
3/9/19,68905428410
3/12/19,68243781583
3/15/19,68921740199
3/18/19,70359711202
3/21/19,70878907589
3/24/19,70350502260
3/27/19,70654593242
3/30/19,72367238143
4/2/19,82396052745
4/5/19,87812739527
4/8/19,91955072586
4/11/19,90175278506
4/14/19,89601994942
4/17/19,92043295984
4/20/19,93632000534
4/23/19,97630443794
4/26/19,93294898912
4/29/19,93277153700
5/2/19,94849833672
5/5/19,1.01E+11
5/8/19,1.04E+11
5/11/19,1.21E+11
5/14/19,1.42E+11
5/17/19,1.29E+11
5/20/19,1.40E+11
5/23/19,1.36E+11
5/26/19,1.44E+11
5/29/19,1.53E+11
6/1/19,1.52E+11
6/4/19,1.39E+11
6/7/19,1.41E+11
